student name,student email
John Doe,johndoe@example.com
Jane Smith,janesmith@example.com
Bob Johnson,bobjohnson@example.com
Alice Williams,alicewilliams@example.com
Charlie Brown,charliebrown@example.com
Emily Davis,emilydavis@example.com
Michael Miller,michaelmiller@example.com
Sarah Wilson,sarahwilson@example.com
David Moore,davidmoore@example.com
Emma Taylor,emmataylor@example.com
James Anderson,jamesanderson@example.com
Olivia Thomas,oliviathomas@example.com
William Jackson,williamjackson@example.com
Ava White,avawhite@example.com
Jacob Harris,jacobharris@example.com
Mia Martin,miamartin@example.com
Lucas Thompson,lucasthompson@example.com
Sophia Garcia,sophiagarcia@example.com
Benjamin Martinez,benjaminmartinez@example.com
Amelia Robinson,ameliaRobinson@example.com
Ethan Clark,ethanclark@example.com
Isabella Rodriguez,isabellarodriguez@example.com
Alexander Lewis,alexanderlewis@example.com
Grace Lee,gracelee@example.com
Daniel Walker,danielwalker@example.com
